app_id,app_name,category,download_numbers,idea_1,idea_2,idea_3,idea_4,idea_5,idea_6,idea_7,idea_8,idea_9,idea_10,source
com.google.android.youtube,YouTube,VIDEO_PLAYERS,19026090341.0,"This feature lets viewers create highlight reels from their watch history by compiling clips from multiple videos, with AI suggesting moments based on viewing patterns.",This feature allows friends to watch videos together in virtual rooms with spatial audio and shows real-time emoji reactions near each viewer’s virtual position.,"This feature organizes educational videos into ordered courses, tracks user progress, suggests quizzes between topics, and provides certificates when learners complete the courses.","This feature uses the phone's front camera to detect hand gestures for scrolling, pausing, or skipping videos without touching the screen.","This feature adds AI-generated overlays during videos that provide real-time information like fact checks, definitions, or statistics, with options for viewers to customize what appears.","This feature allows community members to add and vote on caption translations for videos in languages not yet available, with active contributors receiving badges and early access.","This feature lets creators create branching video stories where viewers choose different paths, leading to various video segments. Creators can see which paths are most viewed.","This feature lets viewers mark specific moments in videos with emotions they felt, creating a record of their feelings and suggesting videos based on those emotions.",This feature creates a 2-3 minute trailer for long videos by using AI to identify key moments based on viewer engagement. Creators can edit or replace the trailer.,"This feature allows verified experts to add fact-checking notes to videos as optional overlays, which viewers can filter based on expert credentials and trust scores.",SOURCE2
com.google.android.youtube,YouTube,VIDEO_PLAYERS,19026090341.0,"This feature breaks how-to videos into steps, lets you loop and adjust speed, shows a transparent overlay to follow using the front camera, and saves progress for later.",This feature lets you share video recommendations with small groups using a short note and a usefulness rating. It adds a “From your friends” shelf and an “Ask my circle” button on search and video pages.,"This feature shows weather forecasts and timing information for places mentioned in videos, synced to the timeline, and lets users save locations to a trip list for export.","This feature uses AI to isolate speech, compress audio range, and sync subtitle emphasis to make dialogue clearer, with long-press controls to boost speech or reduce background noise.","This feature lets you filter videos by channels, keywords, duration, language, region, topic, and date, save these filters, share them, and temporarily pause topics.","This feature lets creators add timestamp-linked files like PDFs, slides, code, or spreadsheets inside the player, allowing users to view, download, and navigate between files and video.","This feature shows nearby creators, events, and meetups on a map with distance filters and safety options. Users can RSVP or set reminders for live sessions.","This feature shows real-time safety and weather alerts on location-tagged live streams, providing viewers and streamers with quick access to evacuation routes and shelter information.","This feature automatically downloads audio-only versions of chosen channels or playlists on Wi-Fi within a daily limit, adding AI-generated chapter titles and text summaries for offline browsing.","This feature shows comment credibility using topic-based reputation and helpfulness scores, allows creators to require verified identities for new commenters, and lets commenters add timestamped evidence to earn visibility badges.",DBGNN
com.google.android.youtube,YouTube,VIDEO_PLAYERS,19026090341.0,"This feature lets creators upload alternate video scenes with choice points, allowing viewers to select different paths while providing creators with branch-specific analytics and optional member-only endings.","This feature lets you tap items in a paused video to identify them, jump to related moments, or open links, using on-device data or creator tags.","This feature lets users record their camera and voice reactions synced to specific video times, overlay them on the original video, and allows creators to manage and monetize these layers.","This feature allows friends to watch videos together with a shared queue, synchronized playback, voice chat, and emoji reactions, available on mobile, TV, and desktop.","This feature turns playlists into learning paths with quizzes, practice areas, review sessions, and progress tracking; creators can award completions and receive additional payments.","This feature lets viewers skip or collapse marked sponsor segments, while supporting creators through small payments from a shared fund and providing sponsor cards to revisit later.",This feature lets you search your watch history using voice or text with vague descriptions and provides exact timestamps along with preview clips to jump directly to.,"This feature tests different video intros, titles, and thumbnails for the first 5–15 seconds, automatically selecting the best combination for each audience and showing tap-level drop-off heatmaps.","This feature adjusts playback speed by slowing down during on-screen actions and speeding up during pauses or repeated narration, with settings available per channel or video.","This feature automatically syncs videos from different creators at the same event, allowing viewers to switch angles or use picture-in-picture, with revenue shared based on watch time per angle.",SOURCE3
com.google.android.youtube,YouTube,VIDEO_PLAYERS,19026090341.0,"This feature automatically creates brief, time-stamped summaries of important parts in a video, helping viewers quickly find and navigate to specific sections.","This feature allows creators to add quizzes, polls, and exercises within their videos, enabling viewers to interact and track progress through badges or certificates.","This feature allows YouTubers to post collaboration proposals with channel details, audience information, and video ideas to find and connect with other creators for joint projects.","This feature lets multiple creators stream live together in a split-screen view, with all viewers able to participate in a single shared chat during the broadcast.",This feature gives YouTube Premium subscribers early access to new videos from selected creators for a limited time before they are available to all viewers.,This feature uses AI to identify products in a video and shows product details and purchase links in a small pop-up within the video player.,"This feature allows viewers to create and share short clips or memes from a video, automatically including attribution to the original creator.","This feature lets creators divide their video library into sections or series, helping viewers find and navigate videos on specific topics within a channel.","This feature lets viewers earn points and unlock badges by watching videos, subscribing to channels, and interacting with the community, which can be exchanged for channel-specific rewards.",This feature lets users write comments on downloaded videos while offline and automatically posts those comments when the device reconnects to the internet.,SOURCE4
com.google.android.youtube,YouTube,VIDEO_PLAYERS,19026090341.0,"This feature lets creators add quizzes, checkpoints, and practice tasks to videos, while viewers earn progress, notes, and badges; AI generates questions and tracks mastery.","This feature shows timed comments that scroll across the video during playback, with options for creators and moderators to control, filter, and toggle the overlay per video.","This feature allows multiple users to create Shorts together using beat-sync, multi-camera layouts, motion tracking, green screen effects, shared timelines, and automatic contributor attribution with revenue sharing.","This feature identifies background songs in any video, links to the official track on YouTube Music, credits the artist, and allows viewers to save the song to playlists.","This feature expands the Community tab to include topic channels, threaded posts, member-only group chats, roles, and automod for organizing FAQs, resources, and conversations.","This feature lets users rate videos, write short reviews, create and share lists, follow friends’ diaries, keep private notes, and export lists to playlists.","This feature adds timestamped product tags to videos and Shorts, lets viewers save items to wishlists, and provides creators with affiliate analytics for collaborations.","This feature lets viewers join live quizzes during streams and Premieres using a code, answer questions on their phones, see leaderboards, and participate in polls and Q&A.","This feature allows creators to send newsletters with videos, audio episodes, and exclusive content via email and the app, offering different perks based on membership levels.","This feature allows users to share draft videos, collaborate with team members, track changes with version history, and replace uploads without losing the original URL, stats, comments, or schedule.",SOURCE5
com.instagram.android,Instagram,SOCIAL,6327460756.0,"This feature lets users add colored rings around their profile picture that change automatically based on recent posts, story interactions, and emoji use to show their current mood.","This feature allows multiple users to edit the same photo at the same time, showing each other's changes and cursors, with edits organized in toggleable layers.","This feature lets users create posts that are scheduled to appear in followers' feeds months or years later, with a notification sent when the post becomes visible.",This feature lets users add AR portals in Stories that allow viewers to enter 360-degree environments made from the poster’s photos and explore them interactively.,"This feature uses AI to detect the emotional tone of posts in your feed and provides a warning if content may be emotionally intense, based on your set availability.","This feature lets followers leave short voice-note reactions shown as small audio waveforms below posts, which play automatically as users scroll through their feed.",This feature lets users combine their photos with friends' photos from the same event to create AI-generated images showing the moment from different angles or distances.,"This feature allows users to create separate feeds within one account, letting followers choose which types of posts—such as food, travel, or work—they want to see.","This feature automatically creates and shares stories that show your daily activity patterns using data like steps, locations, and music listening without manual posting.","This feature adds AI companions called ""ghost followers"" that users can customize to interact with their posts by asking questions or giving encouragement, visible only to the user.",SOURCE2
com.instagram.android,Instagram,SOCIAL,6327460756.0,"This feature provides a private practice space with AI prompts, trace overlays, and short lessons for drawing, lettering, and logos, allowing friends to leave timed annotations privately.","This feature enhances audio by increasing dialogue clarity, reducing background noise, and adjusting sound settings after a hearing check. It adds captions, vibration alerts, and volume controls for voices.","This feature lets users add short reviews to accounts they follow and shows a feed of recommended accounts based on friends’ engagement, with options to follow or mute.","This feature allows users to add short video or text reviews to tagged products and places, which are collected on a Reviews tab and map with spam filtering.","This feature lets users swipe through nearby creators for collaborations, events, or study groups, with profile verification, distance limits, intent tags, message templates, and calendar scheduling.","This feature allows people to access a creator’s subscriber-only posts, Lives, and chats for a set time. Creators set the duration and content, with reminders and easy upgrades.","This feature shows temporary photos, Reels, and event updates from people nearby. Hosts can manage content, and viewers control their visibility and safety settings.","This feature allows users to download posts, Reels, and music to a secure cache for offline use, syncs offline likes and saves later, and limits storage use.","This feature shows a numeric code in Stories or Live that viewers can enter or tap to donate, tip, or buy merchandise, with payments completed within the app.","This feature shows weather forecasts on the map and scheduler, suggests shoot times, adds weather badges to outdoor posts, and provides alerts with safety tips and local updates.",DBGNN
com.instagram.android,Instagram,SOCIAL,6327460756.0,"This feature lets creators add alternate clips at decision points in Reels, allowing viewers to tap and choose different story paths and watch multiple outcomes.","This feature automatically dubs Reels and Lives into multiple languages in near real time, syncing lips and voice, while showing captions and audio in the selected language.","This feature allows multiple users to record the same event from different phones simultaneously, syncing their videos on one timeline for combined viewing and separate editing.","This feature creates location-based, temporary shared albums for events where attendees can add Stories or Reels with consent. It automatically generates a summary and deletes the album after the event.","This feature lets users choose not to appear publicly in photos or videos. When someone posts content with them, the uploader is asked to blur or get approval before sharing.","This feature lets users adjust Explore and Reels by selecting topic filters and mood sliders, changing content shown in feeds and search results immediately.","This feature lets users long-press any item in a Reel or Story to see visually similar products with labels showing price ranges, sustainability information, and exact matches when available.","This feature lets creators add an extra layer to posts with credits, sources, settings, or behind-the-scenes clips that fans can access by meeting set conditions.","This feature automatically summarizes comments, detects repeated questions, and offers one-tap reply suggestions. Users can also create Stories or Reels with the original comment shown.","This feature releases scheduled posts in waves based on each follower’s local peak activity, providing creators with analytics for each wave while keeping likes and comments unified.",SOURCE3
com.instagram.android,Instagram,SOCIAL,6327460756.0,"This feature uses AI to create captions, suggest hashtags, and choose the best photo from a series based on the user's past posts and engagement.","This feature lets users create a scrollable story that collects all posts and stories about a specific event, trip, or project in one place.","This feature lets users virtually try on clothing, accessories, and makeup from brands in real-time within Stories and Reels using augmented reality.","This feature creates shared spaces where users can add posts, Reels, and Stories to a common feed focused on specific topics or events.","This feature records video using both the front and back cameras at the same time for Reels and Stories, capturing two perspectives in one continuous clip.",This feature lets users send short voice messages in Direct Messages that disappear automatically after being listened to once.,This feature allows brands to post project briefs and creators to submit Reel or Story ideas for review directly within the app.,"This feature lets users set limits on Instagram by hiding like counts, disabling the Explore page temporarily, or muting notifications during chosen times.","This feature lets users create posts that smoothly transition between an old photo and a new one, showing changes or progress over time.","This feature shows posts, Reels, and Stories from users within a set geographic area in the Explore tab, allowing users to see content from nearby creators and businesses.",SOURCE4
com.instagram.android,Instagram,SOCIAL,6327460756.0,"This feature allows users to co-edit Reels with others in a shared timeline, offering version history, text-to-speech, auto-captions, and access to a template marketplace.","This feature lets you organize saved items into shared or private boards, add notes, clip moments from Reels, and export boards as shot lists for posts.","This feature lets you go live with rewind options, automatic chapters, instant clip creation for Reels, and add multiple guest phone cameras for different angles.","This feature identifies background music in videos, provides links to Spotify and Apple Music, switches to the official track, and credits the correct owners.","This feature allows users to create rooms with threaded posts, use moderation tools, add weekly prompts, pin posts to profiles, and turn threads into carousels or Reels.","This feature shows nearby posts, events, and shop listings on a map, includes verified local sellers, pickup options, and displays shops through story windows.","This feature lets users post one dual-camera story daily with optional 10-second audio and a small location circle, without filters or the ability to retake photos.","This feature allows creators to offer members-only audio rooms, early access content, exclusive templates, supporter badges, tipping options, and merchandise drops to their followers.","This feature allows users to make non-destructive edits like background swaps with lighting adjustments, outfit recoloring, object removal, and provides labeled cinematic b-roll suggestions.","This feature allows users to access mini-apps within direct messages, such as polls, bill splitting, watch parties, activity summaries, product previews, and third-party tools.",SOURCE5
com.netflix.mediaclient,Netflix,ENTERTAINMENT,2990433298.0,"This feature lets viewers create custom ""mood rings"" that analyze their watching habits and automatically generate personalized channels that change throughout the day based on time and behavior.","This feature lets friends watch shows together in a shared room, using avatars to react with gestures, expressions, and mini-games without pausing the content.","This feature provides real-time explanations about cinematography, symbolism, and details in scenes, tailored to the viewer’s knowledge and interests for any show or movie.","This feature allows users to follow specific characters, themes, or plot elements across different shows and movies by creating custom playlists from Netflix’s catalog.","This feature releases short AI-generated episodes between regular ones, showing what secondary characters do during main events, expanding the story without new filming.","This feature automatically skips scenes you have watched multiple times while highlighting missed moments, new foreshadowing, and callbacks to events from earlier episodes during rewatching.","This feature adjusts color grading, music intensity, and scene selection based on biometric data from your smartwatch to create personalized viewing experiences.","This feature lets users select international shows they like, then gradually recommends more difficult foreign content with fewer subtitles to support language and cultural learning.","This feature creates playlists that arrange fiction and documentaries in chronological order, allowing viewers to watch shows and films from specific historical periods with connecting context.","This feature creates short, surreal video clips using your viewing history by combining characters, scenes, and music from your watched shows to play between episodes.",SOURCE2
com.netflix.mediaclient,Netflix,ENTERTAINMENT,2990433298.0,"This feature pauses selected scenes to explain filmmaking techniques, allows users to earn skill badges, and lets them save annotated clips for later viewing or sharing.","This feature adjusts audio based on your hearing profile and earbuds, increasing speech clarity and limiting loud sounds, with settings that change for each title.","This feature creates and downloads a playlist based on your travel duration, internet access, and destinations. It can connect to your calendar and replace titles for offline viewing when needed.","This feature connects users with nearby fans for synchronized watch parties online or in public places, using opt-in profiles with verification and moderation tools.","This feature allows users to tag reviews with tone, pacing, and content warnings, summarizes overall opinions without spoilers, and lets users follow reviewers with similar preferences.","This feature lets users filter recommendations by length, mood, intensity, and content warnings, with an option to skip scenes tagged for gore, nudity, or jump scares. Filters can be set per profile and locked for children.","This feature monitors weather alerts, pre-downloads selected shows with low battery use, pauses large downloads on weak networks, and resumes them when conditions improve.","This feature lets users choose additional audio tracks like director commentaries, critic explanations, or community recordings that provide synced information or trivia during episodes.","This feature allows users to order snacks from local partners with scheduled delivery timed to show start, supports one-tap reordering, group orders, and contactless drop-off.","This feature allows audio-only playback with scene descriptions, lets you download small files for offline use, and includes a Car Mode with large controls, voice search, and kid-safe queues.",DBGNN
com.netflix.mediaclient,Netflix,ENTERTAINMENT,2990433298.0,"This feature automatically creates and downloads video bundles that fit your available 15, 30, or 60-minute time slots using device data, then deletes them after viewing.","This feature lets users search for specific scenes using quotes, lyrics, props, or locations and jump directly to the exact moment with timecodes and thumbnails.","This feature hides thumbnails, cast updates, and descriptions beyond your current progress in the app and shared links, allowing friends to send links that reveal only up to your latest episode.","This feature provides a 3–5 minute personalized summary of past seasons based on characters and storylines you’ve followed, allowing you to choose between detailed or brief versions before starting a new episode.","This feature lets you use your phone as a second screen by pointing it at your TV to view synced information like cast, music, locations, and trivia for each scene. It works offline with pre-downloaded data.","This feature lets users long-press to capture a 5–20 second clip with captions and a link to the exact moment, which can be shared and previewed by others.","This feature lets users create a room, invite friends, suggest shows based on shared preferences and restrictions, propose suitable times, and start a watch party instantly.","This feature shows two subtitles on mobile, allows tap-to-translate and pronunciation practice, creates vocabulary decks from watched content, and links review cards to specific scenes.","This feature lets you set a target runtime for an episode by trimming recaps, skipping parts, and adjusting playback speed, with all changes reversible and clearly marked.","This feature blurs mature thumbnails, hides suggestive images, mutes autoplay trailers, and changes notifications to haptic alerts for discreet Netflix use in public.",SOURCE3
com.netflix.mediaclient,Netflix,ENTERTAINMENT,2990433298.0,"This Feature allows users to create multiple profiles within one account, enabling personalized viewing preferences and separate watch histories for each user.","This feature allows users to play a real-time trivia game with friends or other viewers while watching a movie or show, with questions appearing during key scenes.",This feature lets users record their own audio commentary for a movie or episode and share it with selected friends for playback during viewing.,"This feature guides viewers through connected movies in a specific order, including optional behind-the-scenes content, interviews, and trivia to enhance understanding of the series.","This feature shows timed pop-ups with information about historical events, cultural references, or filming locations related to the current scene. Users can turn it on or off.","This feature plays a random short film or stand-up comedy special before a selected movie, providing additional content to watch while waiting for the main feature.","This feature lets users create and share playlists of movies and shows based on themes, allowing others to view and explore these user-generated collections.","This feature lets viewers browse an actor’s full filmography on Netflix from the current movie, including interviews, behind-the-scenes content, and information on upcoming projects.","This feature shows subtitles in two languages, lets users click words for definitions and pronunciation, and offers options to slow down or repeat dialogue.","This feature allows viewers to access additional content like director commentary, concept art, or on-set footage during specific scenes through an icon appearing while watching.",SOURCE4
com.netflix.mediaclient,Netflix,ENTERTAINMENT,2990433298.0,"This feature provides a personalized Year in Review with viewing statistics, taste maps, watch heatmaps, shareable cards, friend comparisons, and collaborative watchlist creation.","This feature lets users scroll through a vertical feed of show clips and remixes, and create short highlight videos with captions, effects, and sound that link to full episodes.","This feature allows users to watch shows together in sync with live chat, emotes, Q&A sessions, scheduled premieres, polls, trivia, and a low-latency live room.","This feature lets users turn on timed comments that appear over scenes in certain titles, with moderation, spoiler blocking, and options to share only with friends.","This feature lets users identify a show, episode, scene, or soundtrack by scanning a screenshot, quote, or humming a tune, then jump to that exact moment with soundtrack links.","This feature lets users join viewing challenges, track streaks, compete on leaderboards, earn badges, and unlock profile customization options.","This feature provides a special section with daily selected films, festival collections, limited-time availability, and optional director commentaries and guided viewing tracks.","This feature lets users create moodboards by saving scenes, quotes, and images from movies, invite friends to contribute, follow curators, and generate personalized discovery rows.","This feature lets users play synchronized quizzes, polls, and mini-games during credits or live events, with modes that track progress and unlock digital rewards.","This feature allows users to switch to audio-only mode with options like car mode, sleep timer, and variable speed, and resume video playback later.",SOURCE5
com.google.android.apps.docs.editors.docs,Google Docs,PRODUCTIVITY,1728574580.0,"This feature transcribes spoken words into text in real time, automatically adding headers, bullet points, and paragraphs based on verbal commands, supporting multiple languages simultaneously.","This feature uses AI to check facts in your document, suggest related academic citations, and create formatted bibliography entries. Users can highlight statements to see verification and sources.","This feature lets users create and arrange ideas visually in a mind map, then automatically turns it into a document outline with updates synced both ways.","This feature allows users on touchscreen devices to draw symbols on the document to perform actions such as circling text, moving paragraphs with arrows, or creating diagrams that convert to graphics.","This feature lets users watch the document’s editing history as a video, showing who made changes and when, and allows creating new versions from any point.","This feature creates document templates that adjust content and layout based on the user's writing style, industry, and purpose, using past documents to suggest sections, terms, and formatting.",This feature allows remote users to view each other's cursor movements and hand gestures overlaid on a document through their phone cameras for real-time collaboration.,"This feature allows users to insert dynamic content from external sources like spreadsheets, calendars, or APIs that automatically updates based on set conditions.","This feature provides audio descriptions of document formatting, images, and layout changes, and generates alt-text suggestions for visual elements using AI.",This feature analyzes text in real-time and shows visual cues indicating the emotional tone of different sections to help users review their writing.,SOURCE2
